Date,Cash,Equity,OpenPositions
2001-07-11,18537.97519400454,51897.27759375906,26
2001-07-12,18537.97519400454,52339.14616051054,26
2001-07-13,18537.97519400454,52560.654195812705,26
2001-07-16,49777.367912783615,52416.37990094661,2
2001-07-17,49777.367912783615,52427.792571558944,2
2001-07-18,49777.367912783615,52435.29336954593,2
2001-07-19,52423.66660966491,52423.66660966491,0
2001-07-20,51113.365759031265,52412.960425035446,2
2001-07-23,19788.24480966611,52396.36946884675,26
2001-07-24,51036.84525686639,52420.5255270614,2
2001-07-25,51036.535829564964,52279.657013675605,2
2001-07-26,51036.226402263535,52232.30734394063,2
2001-07-27,19848.66140747774,52138.91134823072,26
2001-07-30,21120.267216010456,52411.301303310756,24
2001-07-31,52625.096863856204,52625.096863856204,0
2001-08-01,36857.42627872912,52496.262640494984,24
2001-08-02,52199.34182401149,52199.34182401149,0
2001-08-03,52199.34182401149,52199.34182401149,0
2001-08-06,52199.34182401149,52199.34182401149,0
2001-08-07,19747.210367315747,52064.57608770702,26
2001-08-08,21018.28799597309,51875.52541319416,24
2001-08-09,21018.28799597309,51807.223339357835,24
2001-08-10,21018.28799597309,51641.437142887575,24
2001-08-13,21018.28799597309,51645.493201055986,24
2001-08-14,21018.28799597309,51703.55969850109,24
2001-08-15,21018.28799597309,51703.55969850109,24
2001-08-16,21018.28799597309,51605.09455958889,24
2001-08-17,21018.28799597309,51683.48273805664,24
2001-08-20,21018.28799597309,51364.10869661854,24
2001-08-21,51274.96017869136,51274.96017869136,0
2001-08-22,19378.788776099038,51142.50312167342,26
2001-08-23,19378.485281737485,51274.46155515496,26
2001-08-24,49777.815772153364,51133.42946860932,2
2001-08-27,35778.85278919024,50950.32659175677,24
2001-08-28,35775.24053352298,51008.9870805067,24
2001-08-29,35771.628277855714,51045.04329426845,24
2001-08-30,51103.924885815475,51103.924885815475,0
2001-08-31,19406.44640962464,50972.262073856415,26
2001-09-03,19406.14306415823,50771.56325979736,26
2001-09-04,19405.83971869182,50862.66714101266,26
2001-09-05,50922.92184328317,50922.92184328317,0
2001-09-06,35677.338744128814,50798.35348376142,24
2001-09-07,35673.738502524124,50859.8203486421,24
2001-09-10,50694.243460354555,50694.243460354555,0
2001-09-11,50694.243460354555,50694.243460354555,0
2001-09-12,35519.5649360032,50570.25444676589,24
2001-09-13,35515.98143850063,50890.309531850566,24
2001-09-14,35512.39794099807,52514.47849423169,24
2001-09-17,54128.28370106887,54128.28370106887,0
2001-09-18,54128.28370106887,54128.28370106887,0
2001-09-19,37956.29394426379,53996.14587327275,24
2001-09-20,37952.474931899735,54491.92366791172,24
2001-09-21,37948.65591953568,55393.30937175326,24
2001-09-24,37944.83690717163,54913.61002274694,24
2001-09-25,54716.05636870995,54716.05636870995,0
2001-09-26,5971.912022464657,54317.77851616659,8
2001-09-27,52674.770120078945,52674.770120078945,0
2001-09-28,50044.2259288186,52664.28986433687,2
2001-10-01,50044.2259288186,52657.99871722402,2
2001-10-02,50044.2259288186,52657.99871722402,2
2001-10-03,34245.35560225839,52554.477148705664,26
2001-10-04,34241.62470197819,52158.22182864092,26
2001-10-05,34237.89380169799,51987.805925914545,26
2001-10-08,49466.20992537333,52115.80973692729,2
2001-10-09,49466.20992537333,52210.30682321383,2
2001-10-10,49466.20992537333,52240.403319557445,2
2001-10-11,49466.20992537333,52249.25958998992,2
2001-10-12,52188.80648130251,52188.80648130251,0
2001-10-15,49578.15191728903,52178.40546710326,2
2001-10-16,18460.678463656204,52130.687948066494,26
2001-10-17,18460.678463656204,52532.55878229787,26
2001-10-18,18460.678463656204,52384.208260852596,26
2001-10-19,21101.78153285195,52621.75767776181,24
2001-10-22,21101.78153285195,52908.88742992093,24
2001-10-23,52842.60133311773,52842.60133311773,0
2001-10-24,34315.53023774518,52702.29918475045,26
2001-10-25,49880.487723701386,52517.6970418624,2
2001-10-26,18607.026799788393,52393.10158001415,26
2001-10-29,18607.026799788393,52387.37451325885,26
2001-10-30,18607.026799788393,52038.122375001825,26
2001-10-31,18607.026799788393,52486.96114956371,26
2001-11-01,18607.026799788393,52877.47606288425,26
2001-11-02,18607.026799788393,53097.12892781726,26
2001-11-05,18607.026799788393,53033.153150072016,26
2001-11-06,51031.25752900784,53654.76514505093,2
2001-11-07,34957.858782084804,53495.22020605407,26
2001-11-08,34954.063051969344,53194.291408211524,26
2001-11-09,34950.267321853884,53049.43303301836,26
2001-11-12,37703.137974169455,52552.76956084033,24
2001-11-13,37699.342244053994,52501.5644550573,24
2001-11-14,38063.26371621586,52077.87543999649,23
2001-11-15,51330.157314467186,51330.157314467186,0
